report_year,state,slide_id,slide_no,source,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,time_of_event,type_of_event,casualty,rainfall_mm
2026,Meghalaya,Field Survey//2025/Meghalaya/48,29.0,Field Survey,Ri Bhoi,Jorabat Landslide,GS Road,NH 6,26.09923,91.87597,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/49,30.0,Field Survey,Ri Bhoi,Umsning Landslide,GS Road,NH 6,25.70906,91.89498,30-05-2025,-,1.0,0.0,0.0
2026,Meghalaya,Field Survey//2025/Meghalaya/50,31.0,Field Survey,Ri Bhoi,Umsning Landslide 2,GS Road,NH 6,25.70907,91.895,30-05-2025,-,1.0,0.0,0.0
2026,Meghalaya,Field Survey//2025/Meghalaya/51,32.0,Field Survey,Ri Bhoi,Umiam Landslide 8,GS Road,NH 6,25.6792,91.89967,30-05-2025,-,1.0,0.0,44.0
2026,Meghalaya,Field Survey//2025/Meghalaya/52,33.0,Field Survey,Ri Bhoi,Umiam Landslide 9,GS Road,NH 6,25.67051,91.90494,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/53,34.0,Field Survey,Ri Bhoi,Umiam Landslide 10,GS Road,NH 6,25.66272,91.90127,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/54,35.0,Field Survey,Ri Bhoi,Umiam Landslide 11,GS Road,NH 6,25.66073,91.9014,30-05-2025,-,1.0,0.0,24.0
2026,Meghalaya,Field Survey//2025/Meghalaya/55,36.0,Field Survey,East Khasi Hills,Umiam Landslide 12,GS Road,NH 6,25.65293,91.89804,30-05-2025,-,1.0,0.0,44.0
2026,Meghalaya,Field Survey//2025/Meghalaya/56,37.0,Field Survey,East Khasi Hills,ISBT Bypass Landslide 1,GS Road,NH 6,25.62575,91.89703,30-05-2025,-,1.0,0.0,44.0
2026,Meghalaya,Field Survey//2025/Meghalaya/57,38.0,Field Survey,East Khasi Hills,ISBT Bypass Landslide 2,GS Road,NH 6,25.6248,91.91046,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/58,39.0,Field Survey,East Khasi Hills,ISBT Bypass Landslide 3,GS Road,NH 6,25.62053,91.90989,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/66,40.0,Newspapers & Media,East Khasi Hills,Laitkyntung Landslide,village falling under the Laitkroh-,,25.44747,91.7427,30-05-2025,-,2.0,2.0,21.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/67,41.0,Newspapers & Media,East Khasi Hills,Mylliem Landslide,Khatarshnong Block road under Khatarshnong,NH 206,25.49136,91.82182,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/68,42.0,Newspapers & Media,East Khasi Hills,Lummawbah Landslide,,,25.5685,91.86669,30-05-2025,-,2.0,0.0,3.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/69,43.0,Newspapers & Media,Eastern West Khasi,Mawkamoit Landslide,,,25.58841,91.47562,30-05-2025,-,2.0,0.0,125.0
2026,Meghalaya,Newspapers & Media/2025/Meghalaya/70,44.0,Newspapers & Media,Hills West Garo Hills,Akonggre Landslide,near the Deputy Commissioner’s,,25.511,90.21982,30-05-2025,-,2.0,0.0,3.0
2026,Meghalaya,Field Survey/2025/Meghalaya/72,45.0,Field Survey,East Khasi Hills,Mylliem Landslide 2,office in Tura,NH 206,25.49086,91.82135,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/73,46.0,Field Survey,East Khasi Hills,Mylliem Landslide 3,,NH 206,25.48787,91.81959,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/74,47.0,Field Survey,East Khasi Hills,Mylliem Landslide 4,,NH 206,25.48715,91.81948,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/75,48.0,Field Survey,East Khasi Hills,Mylliem Landslide 5,,NH 206,25.4868,91.81987,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/76,49.0,Field Survey,East Khasi Hills,Mylliem Landslide 6,,NH 206,25.47565,91.81801,30-05-2025,-,1.0,0.0,24.0
2026,Meghalaya,Field Survey/2025/Meghalaya/77,50.0,Field Survey,East Khasi Hills,Mylliem Landslide 7,,NH 206,25.47174,91.81621,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/78,51.0,Field Survey,East Khasi Hills,Mylliem Landslide 8,,NH 206,25.47133,91.81608,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/79,52.0,Field Survey,East Khasi Hills,Mylliem Landslide 9,,NH 206,25.46944,91.81748,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/80,53.0,Field Survey,East Khasi Hills,Mylliem Landslide 10,,NH 206,25.46891,91.8184,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/81,54.0,Field Survey,East Khasi Hills,Mylliem Landslide 11,,NH 206,25.46687,91.81902,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/82,55.0,Field Survey,East Khasi Hills,Mylliem Landslide 12,,NH 206,25.46591,91.82085,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/83,56.0,Field Survey,East Khasi Hills,Mylliem Landslide 13,,NH 206,25.46593,91.82263,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/84,57.0,Field Survey,East Khasi Hills,Umtyngar Landslide,,NH 206,25.46529,91.82496,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/85,58.0,Field Survey,East Khasi Hills,Umtyngar Landslide 2,,NH 206,25.46555,91.82614,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/86,59.0,Field Survey,East Khasi Hills,Umtyngar Landslide 3,,NH 206,25.46443,91.82775,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/87,60.0,Field Survey,East Khasi Hills,Laitkroh Landslide,,NH 206,25.46194,91.82976,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/88,61.0,Field Survey,East Khasi Hills,Laitkroh Landslide 2,,NH 206,25.46117,91.83177,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/89,62.0,Field Survey,East Khasi Hills,Laitkroh Landslide 3,,NH 206,25.44031,91.84712,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/90,63.0,Field Survey,East Khasi Hills,Laitkroh Landslide 4,,NH 206,25.43961,91.8491,30-05-2025,-,1.0,0.0,24.0
2026,Meghalaya,Field Survey/2025/Meghalaya/91,64.0,Field Survey,East Khasi Hills,Laitkroh Landslide 5,,NH 206,25.43813,91.85107,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/92,65.0,Field Survey,East Khasi Hills,Lum Thnagding,,NH 206,25.43763,91.85282,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/93,66.0,Field Survey,East Khasi Hills,Landslide Lum Thnagding,,NH 206,25.43763,91.85432,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/94,67.0,Field Survey,East Khasi Hills,Landslide 2 Lum Thnagding,,NH 206,25.43707,91.8561,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/95,68.0,Field Survey,East Khasi Hills,Landslide 3 Lum Thnagding,,NH 206,25.437,91.85824,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/96,69.0,Field Survey,East Khasi Hills,Landslide 4 Wah Bnoh Landslide,,NH 206,25.43398,91.86066,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/97,70.0,Field Survey,East Khasi Hills,Wah Bnoh Landslide 2,,NH 206,25.43231,91.86152,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/98,71.0,Field Survey,East Khasi Hills,Wah Bnoh Landslide 3,,NH 206,25.43141,91.86274,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/99,72.0,Field Survey,East Khasi Hills,Wah Bnoh Landslide 4,,NH 206,25.42705,91.86312,30-05-2025,-,1.0,0.0,17.0
2026,Meghalaya,Field Survey/2025/Meghalaya/100,73.0,Field Survey,East Khasi Hills,Wah Bnoh Landslide 5,,NH 206,25.4229,91.86607,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/101,74.0,Field Survey,East Khasi Hills,Wah Bnoh Landslide 6,,NH 206,25.42221,91.86785,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/102,75.0,Field Survey,East Khasi Hills,Pomlum Landslide,,NH 206,25.42162,91.86807,31-05-2025,-,1.0,0.0,4.0
2026,Meghalaya,Field Survey/2025/Meghalaya/103,76.0,Field Survey,East Khasi Hills,Pomlum Landslide 2,,NH 206,25.42881,91.86459,30-05-2025,-,1.0,0.0,17.0
