incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
243,2025,Meghalaya,Ri Bhoi,Umbang 4 Landslide,"GS Road, Ri Bhoi",NH 6,25.67939,91.899541,2024-06-30,8.6,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/93
244,2025,Meghalaya,East Jaintia Hills,Kuliang Landslide,Kuliang section of National Highway 06,NH 6,25.080516,92.362183,2024-09-30,90.99,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/178
245,2021,Mizoram,Langit,Buster landeide,Gusta,,22.805047,92.816885,2021-07-18,90.0,1.0,0.0,0.35,Online Media,Online Media/2021/Mizoram/24
246,2021,Mizoram,Lawngtlai,Zochachhuah andstide,Zochachhuah,,22.52,92.89,2021-08-26,14.35,3.0,0.0,0.85,Onine Meda,Onine Meda/2021/Mizoram/
247,2021,Mizoram,Aizawl,Thingsuithlah landslide,Tringsuthiah Vilage,,23.689863,92.859428,2021-10-08,14.0,2.0,2.0,0.75,Onine Meda,Onine Meda/2021/Mizoram/
248,2021,Mizoram,, Landslide,Truamput,,23.73,92.72,2021-06-11,17.59,2.0,0.0,0.65,Newspaper,Newspaper/2021/Mizoram/
249,2023,Mizoram,Serchhip,Keitum Landslide,Keitum Village,--,23.233976,92.91265,2023-09-11,32.64,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2023/Mizoram/77
250,2023,Mizoram,Champhai,Hermon Veng,Near Khawzawl,NH 6,23.491709,93.204533,2023-01-26,0.15,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2023/Mizoram/10
251,2023,Mizoram,Aizawl,Hunthar Landslide,Western outskirts of Aizawl,NH-54,23.745055,92.714248,2023-06-16,368.94,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/24
252,2023,Mizoram,Aizawl,Hunthar  Landslide,Hunthar in western part of Aizawl,NH 54,23.74506,92.71425,2023-07-04,0.96,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/41
253,2023,Mizoram,Aizawl,Vaivakawn Landslide,Vaivakawn Zohnuai area,--,23.742421,92.708782,2023-07-27,43.21,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/55
254,2023,Mizoram,Lawngtlai,Lawngtlai Landslide,Near Lawngtlai town,--,22.518533,92.889308,2023-08-08,95.15,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/57
255,2023,Mizoram,Lunglei,Lunglei Landslide,Near Lunglei town,--,22.880829,92.760969,2023-08-08,71.5,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/58
256,2023,Mizoram,Aizawl,Hunthar Landslide,Western outskirts of Aizawl,NH 6,23.745833,92.713846,2023-08-09,33.47,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Mizoram/59
257,2025,Mizoram,Aizawl,Zuangtui Landslide,Aizawl's Zuangtui locality,,23.75524,92.73935,2024-07-02,90.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Mizoram/86
258,2025,Mizoram,Aizawl,Bawngkawn Landslide,Aizawl's Bawngkawn locality,,23.75565,92.72946,2024-07-02,338.11,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Mizoram/94
259,2025,Mizoram,Aizawl,Zemabawk Landslide,Aizawl's Zemabawk locality,,23.73397,92.7463,2024-07-02,172.74,2.0,3.0,0.8,Newspapers & Media,Newspapers & Media/2024/Mizoram/95
260,2025,Mizoram,Aizawl,Durtlang Landslide,Durtlang Road,,23.76229,92.73362,2024-07-02,173.43,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Mizoram/101
261,2025,Mizoram,Mamit,Khantlang Landslide,Khantlang Village in Mamitdistrcit,,23.75095,92.27094,2024-06-11,70.7,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Mizoram/49
262,2025,Mizoram,Aizawl,Hlimen Landslide,"Situated between Meltham and Hlimen in the southern part of Aizawl city, Mizoram",,23.68059,92.71768,2024-05-28,660.93,2.0,28.0,1.0,Newspapers & Media,Newspapers & Media/2024/Mizoram/13
263,2025,Mizoram,Aizawl,Hunthar Landslide,Western outskirts of Aizawl,NH-54,23.74506,92.71425,2024-05-28,596.49,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Mizoram/14
264,2025,Mizoram,Aizawl,Salem Landslide,Near Aizawl City,,23.71769,92.7266,2024-05-28,596.49,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Mizoram/15
265,2025,Mizoram,Aizawl,Falkawn Landslide,Falkawn Village,,23.62224,92.72635,2024-05-28,656.68,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2024/Mizoram/27
266,2025,Mizoram,Aizawl,Lungsei Landslide,Lungsei Village,,23.45122,92.68159,2024-05-28,594.25,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Mizoram/28
267,2025,Mizoram,Aizawl,Aibawk Landslide,Aibawk Village,,23.55912,92.70656,2024-05-28,536.28,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2024/Mizoram/29
268,2025,Mizoram,Kolasib,Kawnpui Landslide,Near Kawnpui Railway Station,,23.99435,92.64393,2024-08-28,45.79,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Mizoram/170
269,2021,Nagaland,Dimapur,TL Park landslide,Kukidlong,,25.793409,90.805865,2021-02-02,12.0,3.0,0.0,0.85,Newspaper,Newspaper/2021/Nagaland/
270,2021,Nagaland,Dimapur,Fiphema_landsiée,Piphema,,25.765187,93.940678,2021-05-10,2.61,1.0,0.0,0.35,Nwspaper,Nwspaper/2021/Nagaland/45
271,2021,Nagaland,Phek,Losami_Phek landside,Landslie between Losami and Phek Vilage,,25.657788,94.498812,2021-07-12,85.0,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Nagaland/41
272,2021,Nagaland,Phek,Phek_landside,Ziphu,,25.603108,94.686765,2021-07-18,85.0,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Nagaland/47
273,2021,Nagaland,Tuensang,Wangshu_PwO_Road landslide,Wangshu Vilage,,26.046657,94.767115,2021-07-20,85.0,3.0,0.0,0.85,Nwspaper,Nwspaper/2021/Nagaland/40
274,2021,Nagaland,Wokha,Sanis_Doyang landslide,Between Sanis and Doyang,,26.208642,94.221998,2021-08-05,85.0,3.0,0.0,0.85,Nwspaper,Nwspaper/2021/Nagaland/44
275,2021,Nagaland,Wokha,Aiell_colony_landside,Arild Colony,,26.091211,94.246068,2021-08-06,85.0,2.0,0.0,0.65,Newspaper,Newspaper/2021/Nagaland/
276,2021,Nagaland,Wokha,Lower Etsuchuka Colony landslide,Lower Etsuchuka Colony,,26.092809,94.254627,2021-08-06,85.0,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Nagaland/39
277,2021,Nagaland,Wokha,Potice_PointJandside,Poi Point,,26.096249,94.25428,2021-08-06,85.0,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Nagaland/42
